Compiling 109 files (.ex)
Generated runic app
# commit=96dbb10ad1242db48befb9a827a9ebb4f6b7b1ef elixir=1.19.5 otp=28 schedulers=16
label,pass,repeat,case,n,preparation,execution,coordination,limit,concurrency,elapsed_us,waves,prepared,fan_in_prepared,max_prepared,facts,edges,mapped_entries,request_bytes,response_bytes,max_request_bytes,request_flat_words,max_context_words,retained_external_bytes,owner_peak_bytes,tree_peak_bytes,referenced_binary_peak_bytes,descendant_count,result_ok
baseline,timing,1,collect,128,eager,inline,legacy,64,8,32733,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
baseline,timing,2,collect,128,eager,inline,legacy,64,8,32576,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
baseline,timing,3,collect,128,eager,inline,legacy,64,8,32371,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
baseline,memory,1,collect,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,0,0,0,0,0,0,2917712,2917712,18596,0,true
baseline,envelopes,1,collect,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,8242067,9237532,58273,1328621,4789,1262012,,,,,true
baseline,timing,1,collect,512,eager,inline,legacy,64,8,411118,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
baseline,timing,2,collect,512,eager,inline,legacy,64,8,401119,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
baseline,timing,3,collect,512,eager,inline,legacy,64,8,399310,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
baseline,memory,1,collect,512,eager,inline,legacy,64,8,,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,11170536,11170536,68590,0,true
baseline,envelopes,1,collect,512,eager,inline,legacy,64,8,,3,1025,512,512,1026,2059,2,114626347,118611648,217773,18662893,18575,4932942,,,,,true
baseline,timing,1,sum,128,eager,inline,legacy,64,8,28286,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
baseline,timing,2,sum,128,eager,inline,legacy,64,8,28289,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
baseline,timing,3,sum,128,eager,inline,legacy,64,8,28149,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
baseline,memory,1,sum,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,0,0,0,0,0,0,2917736,2917736,4714,0,true
baseline,envelopes,1,sum,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,8242067,9237532,58273,1328621,4789,1261871,,,,,true
baseline,timing,1,sum,512,eager,inline,legacy,64,8,353642,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
baseline,timing,2,sum,512,eager,inline,legacy,64,8,360611,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
baseline,timing,3,sum,512,eager,inline,legacy,64,8,354775,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
baseline,memory,1,sum,512,eager,inline,legacy,64,8,,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,9580288,9580288,53794,0,true
baseline,envelopes,1,sum,512,eager,inline,legacy,64,8,,3,1025,512,512,1026,2059,2,114626347,118611648,217773,18662893,18575,4931131,,,,,true
baseline,timing,1,deep,128,eager,inline,legacy,64,8,58331,6,641,128,128,642,1302,5,0,0,0,0,0,0,,,,,true
baseline,timing,2,deep,128,eager,inline,legacy,64,8,58240,6,641,128,128,642,1302,5,0,0,0,0,0,0,,,,,true
baseline,timing,3,deep,128,eager,inline,legacy,64,8,58570,6,641,128,128,642,1302,5,0,0,0,0,0,0,,,,,true
baseline,memory,1,deep,128,eager,inline,legacy,64,8,,6,641,128,128,642,1302,5,0,0,0,0,0,0,4720464,4720464,59554,0,true
baseline,envelopes,1,deep,128,eager,inline,legacy,64,8,,6,641,128,128,642,1302,5,10485047,13066468,58419,1668077,4795,3275938,,,,,true
baseline,timing,1,deep,512,eager,inline,legacy,64,8,690675,6,2561,512,512,2562,5142,5,0,0,0,0,0,0,,,,,true
baseline,timing,2,deep,512,eager,inline,legacy,64,8,689834,6,2561,512,512,2562,5142,5,0,0,0,0,0,0,,,,,true
baseline,timing,3,deep,512,eager,inline,legacy,64,8,683178,6,2561,512,512,2562,5142,5,0,0,0,0,0,0,,,,,true
baseline,memory,1,deep,512,eager,inline,legacy,64,8,,6,2561,512,512,2562,5142,5,0,0,0,0,0,0,13090720,13090720,335837,0,true
baseline,envelopes,1,deep,512,eager,inline,legacy,64,8,,6,2561,512,512,2562,5142,5,123733077,134069012,218163,20012525,18565,12760497,,,,,true
baseline,timing,1,binary,128,eager,inline,legacy,64,8,31267,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
baseline,timing,2,binary,128,eager,inline,legacy,64,8,30934,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
baseline,timing,3,binary,128,eager,inline,legacy,64,8,30711,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
baseline,memory,1,binary,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,0,0,0,0,0,0,2917712,2917712,406011,0,true
baseline,envelopes,1,binary,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,25942809,27466146,267801,1518317,6205,1790146,,,,,true
baseline,timing,1,binary,512,eager,inline,legacy,64,8,541497,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
baseline,timing,2,binary,512,eager,inline,legacy,64,8,504418,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
baseline,timing,3,binary,512,eager,inline,legacy,64,8,570852,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
baseline,memory,1,binary,512,eager,inline,legacy,64,8,,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,13089776,13089776,1631864,0,true
baseline,envelopes,1,binary,512,eager,inline,legacy,64,8,,3,1025,512,512,1026,2059,2,388064043,394160832,1062687,21570029,24187,7044430,,,,,true
baseline,timing,1,repeated,128,eager,inline,legacy,64,8,189655,12,1028,512,128,1032,2065,5,0,0,0,0,0,0,,,,,true
baseline,timing,2,repeated,128,eager,inline,legacy,64,8,190074,12,1028,512,128,1032,2065,5,0,0,0,0,0,0,,,,,true
baseline,timing,3,repeated,128,eager,inline,legacy,64,8,191565,12,1028,512,128,1032,2065,5,0,0,0,0,0,0,,,,,true
baseline,memory,1,repeated,128,eager,inline,legacy,64,8,,12,1028,512,128,1032,2065,5,0,0,0,0,0,0,4720488,4720488,60624,0,true
baseline,envelopes,1,repeated,128,eager,inline,legacy,64,8,,12,1028,512,128,1032,2065,5,33122672,37107616,58794,5315764,4795,4949165,,,,,true
baseline,timing,1,repeated,512,eager,inline,legacy,64,8,2481772,12,4100,2048,512,4104,8209,5,0,0,0,0,0,0,,,,,true
baseline,timing,2,repeated,512,eager,inline,legacy,64,8,2595620,12,4100,2048,512,4104,8209,5,0,0,0,0,0,0,,,,,true
baseline,timing,3,repeated,512,eager,inline,legacy,64,8,2459416,12,4100,2048,512,4104,8209,5,0,0,0,0,0,0,,,,,true
baseline,memory,1,repeated,512,eager,inline,legacy,64,8,,12,4100,2048,512,4104,8209,5,0,0,0,0,0,0,28057032,28057032,381598,0,true
baseline,envelopes,1,repeated,512,eager,inline,legacy,64,8,,12,4100,2048,512,4104,8209,5,459694198,475644582,218538,74614708,18575,19630384,,,,,true
baseline,timing,1,stream,128,eager,inline,legacy,64,8,33082,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
baseline,timing,2,stream,128,eager,inline,legacy,64,8,32979,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
baseline,timing,3,stream,128,eager,inline,legacy,64,8,35655,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
baseline,memory,1,stream,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,0,0,0,0,0,0,2917704,2917704,26970,0,true
baseline,envelopes,1,stream,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,8241917,9237382,58273,1327365,4783,1261796,,,,,true
baseline,timing,1,stream,512,eager,inline,legacy,64,8,402280,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
baseline,timing,2,stream,512,eager,inline,legacy,64,8,355083,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
baseline,timing,3,stream,512,eager,inline,legacy,64,8,348143,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
baseline,memory,1,stream,512,eager,inline,legacy,64,8,,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,9572344,9572344,39915,0,true
baseline,envelopes,1,stream,512,eager,inline,legacy,64,8,,3,1025,512,512,1026,2059,2,114622863,118608164,217773,18634245,18523,4929389,,,,,true
