# commit=96dbb10ad1242db48befb9a827a9ebb4f6b7b1ef elixir=1.19.5 otp=28 schedulers=16
label,pass,repeat,case,n,preparation,execution,coordination,limit,concurrency,elapsed_us,waves,prepared,fan_in_prepared,max_prepared,facts,edges,mapped_entries,request_bytes,response_bytes,max_request_bytes,request_flat_words,max_context_words,retained_external_bytes,owner_peak_bytes,tree_peak_bytes,referenced_binary_peak_bytes,descendant_count,result_ok
baseline,timing,1,collect,128,eager,task,legacy,64,8,44075,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
baseline,timing,2,collect,128,eager,task,legacy,64,8,46116,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
baseline,timing,3,collect,128,eager,task,legacy,64,8,50713,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
baseline,memory,1,collect,128,eager,task,legacy,64,8,,3,257,128,128,258,523,2,0,0,0,0,0,0,6729568,6830352,18596,260,true
baseline,envelopes,1,collect,128,eager,task,legacy,64,8,,3,257,128,128,258,523,2,8242067,9237532,58273,1327597,6615,1262012,,,,,true
baseline,timing,1,collect,512,eager,task,legacy,64,8,616495,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
baseline,timing,2,collect,512,eager,task,legacy,64,8,548293,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
baseline,timing,3,collect,512,eager,task,legacy,64,8,533542,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
baseline,memory,1,collect,512,eager,task,legacy,64,8,,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,21037624,21054576,63652,1028,true
baseline,envelopes,1,collect,512,eager,task,legacy,64,8,,3,1025,512,512,1026,2059,2,114626347,118611648,217773,18643437,25747,4932942,,,,,true
baseline,timing,1,sum,128,eager,task,legacy,64,8,42416,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
baseline,timing,2,sum,128,eager,task,legacy,64,8,41466,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
baseline,timing,3,sum,128,eager,task,legacy,64,8,42676,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
baseline,memory,1,sum,128,eager,task,legacy,64,8,,3,257,128,128,258,523,2,0,0,0,0,0,0,5374712,5383760,4714,260,true
baseline,envelopes,1,sum,128,eager,task,legacy,64,8,,3,257,128,128,258,523,2,8242067,9237532,58273,1327597,6615,1261871,,,,,true
