# commit=4b7ffc480cd76748327c4b6c96c3b8f92327989f elixir=1.19.5 otp=28 schedulers=16
label,pass,repeat,case,n,preparation,execution,coordination,limit,concurrency,elapsed_us,waves,prepared,fan_in_prepared,max_prepared,facts,edges,mapped_entries,request_bytes,response_bytes,max_request_bytes,request_flat_words,max_context_words,retained_external_bytes,owner_peak_bytes,tree_peak_bytes,referenced_binary_peak_bytes,descendant_count,result_ok
compact,timing,1,collect,128,bounded,inline,legacy,64,8,24676,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,2,collect,128,bounded,inline,legacy,64,8,24097,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,3,collect,128,bounded,inline,legacy,64,8,23962,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
compact,memory,1,collect,128,bounded,inline,legacy,64,8,,6,257,128,64,258,523,2,0,0,0,0,0,0,1803576,1803576,11754,0,true
compact,envelopes,1,collect,128,bounded,inline,legacy,64,8,,6,257,128,64,258,523,2,1479955,2475420,6090,219629,428,1262012,,,,,true
compact,timing,1,collect,512,bounded,inline,legacy,64,8,252408,18,1025,512,64,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,2,collect,512,bounded,inline,legacy,64,8,252485,18,1025,512,64,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,3,collect,512,bounded,inline,legacy,64,8,245794,18,1025,512,64,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,memory,1,collect,512,bounded,inline,legacy,64,8,,18,1025,512,64,1026,2059,2,0,0,0,0,0,0,9578784,9578784,166326,0,true
compact,envelopes,1,collect,512,bounded,inline,legacy,64,8,,18,1025,512,64,1026,2059,2,5916971,9902272,6943,877037,1196,4932942,,,,,true
compact,timing,1,sum,128,bounded,inline,legacy,64,8,23151,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,2,sum,128,bounded,inline,legacy,64,8,23634,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,3,sum,128,bounded,inline,legacy,64,8,23990,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
compact,memory,1,sum,128,bounded,inline,legacy,64,8,,6,257,128,64,258,523,2,0,0,0,0,0,0,1803584,1803584,4714,0,true
compact,envelopes,1,sum,128,bounded,inline,legacy,64,8,,6,257,128,64,258,523,2,1479955,2475420,6090,219629,428,1261871,,,,,true
compact,timing,1,sum,512,bounded,inline,legacy,64,8,249453,18,1025,512,64,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,2,sum,512,bounded,inline,legacy,64,8,239989,18,1025,512,64,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,3,sum,512,bounded,inline,legacy,64,8,241089,18,1025,512,64,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,memory,1,sum,512,bounded,inline,legacy,64,8,,18,1025,512,64,1026,2059,2,0,0,0,0,0,0,7637424,7637424,98825,0,true
compact,envelopes,1,sum,512,bounded,inline,legacy,64,8,,18,1025,512,64,1026,2059,2,5916971,9902272,6943,877037,1196,4931131,,,,,true
compact,timing,1,deep,128,bounded,inline,legacy,64,8,58387,13,637,124,64,642,1302,5,0,0,0,0,0,0,,,,,true
compact,timing,2,deep,128,bounded,inline,legacy,64,8,56776,13,637,124,64,642,1302,5,0,0,0,0,0,0,,,,,true
compact,timing,3,deep,128,bounded,inline,legacy,64,8,56961,13,637,124,64,642,1302,5,0,0,0,0,0,0,,,,,true
compact,memory,1,deep,128,bounded,inline,legacy,64,8,,13,637,124,64,642,1302,5,0,0,0,0,0,0,7637368,7637368,85612,0,true
compact,envelopes,1,deep,128,bounded,inline,legacy,64,8,,13,637,124,64,642,1302,5,3683239,6263076,6007,556969,428,3275938,,,,,true
compact,timing,1,deep,512,bounded,inline,legacy,64,8,489599,43,2558,509,64,2562,5142,5,0,0,0,0,0,0,,,,,true
compact,timing,2,deep,512,bounded,inline,legacy,64,8,486133,43,2558,509,64,2562,5142,5,0,0,0,0,0,0,,,,,true
compact,timing,3,deep,512,bounded,inline,legacy,64,8,490495,43,2558,509,64,2562,5142,5,0,0,0,0,0,0,,,,,true
compact,memory,1,deep,512,bounded,inline,legacy,64,8,,43,2558,509,64,2562,5142,5,0,0,0,0,0,0,11177752,11177752,244738,0,true
compact,envelopes,1,deep,512,bounded,inline,legacy,64,8,,43,2558,509,64,2562,5142,5,14807671,25142418,6943,2236602,1196,12760497,,,,,true
compact,timing,1,binary,128,bounded,inline,legacy,64,8,29181,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,2,binary,128,bounded,inline,legacy,64,8,28003,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,3,binary,128,bounded,inline,legacy,64,8,26652,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
compact,memory,1,binary,128,bounded,inline,legacy,64,8,,6,257,128,64,258,523,2,0,0,0,0,0,0,1803552,1803552,820119,0,true
compact,envelopes,1,binary,128,bounded,inline,legacy,64,8,,6,257,128,64,258,523,2,2272025,3795362,267801,228077,1836,1790146,,,,,true
compact,timing,1,binary,512,bounded,inline,legacy,64,8,287551,17,1009,496,64,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,2,binary,512,bounded,inline,legacy,64,8,305376,17,1009,496,64,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,3,binary,512,bounded,inline,legacy,64,8,326775,17,1009,496,64,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,memory,1,binary,512,bounded,inline,legacy,64,8,,17,1009,496,64,1026,2059,2,0,0,0,0,0,0,4726368,4726368,1624050,0,true
compact,envelopes,1,binary,512,bounded,inline,legacy,64,8,,17,1009,496,64,1026,2059,2,8964053,15054506,1062687,897917,6828,7044430,,,,,true
compact,timing,1,repeated,128,bounded,inline,legacy,64,8,142788,24,1028,512,64,1032,2065,5,0,0,0,0,0,0,,,,,true
compact,timing,2,repeated,128,bounded,inline,legacy,64,8,134324,24,1028,512,64,1032,2065,5,0,0,0,0,0,0,,,,,true
compact,timing,3,repeated,128,bounded,inline,legacy,64,8,136307,24,1028,512,64,1032,2065,5,0,0,0,0,0,0,,,,,true
compact,memory,1,repeated,128,bounded,inline,legacy,64,8,,24,1028,512,64,1032,2065,5,0,0,0,0,0,0,4720496,4720496,74513,0,true
compact,envelopes,1,repeated,128,bounded,inline,legacy,64,8,,24,1028,512,64,1032,2065,5,5925232,9910176,6096,878516,428,4949165,,,,,true
compact,timing,1,repeated,512,bounded,inline,legacy,64,8,1666257,70,4071,2019,64,4104,8209,5,0,0,0,0,0,0,,,,,true
compact,timing,2,repeated,512,bounded,inline,legacy,64,8,1704065,70,4071,2019,64,4104,8209,5,0,0,0,0,0,0,,,,,true
compact,timing,3,repeated,512,bounded,inline,legacy,64,8,1687219,70,4071,2019,64,4104,8209,5,0,0,0,0,0,0,,,,,true
compact,memory,1,repeated,512,bounded,inline,legacy,64,8,,70,4071,2019,64,4104,8209,5,0,0,0,0,0,0,13128648,13128648,342600,0,true
compact,envelopes,1,repeated,512,bounded,inline,legacy,64,8,,70,4071,2019,64,4104,8209,5,23523604,39462504,8473,3485383,1196,19630384,,,,,true
compact,timing,1,stream,128,bounded,inline,legacy,64,8,24913,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,2,stream,128,bounded,inline,legacy,64,8,22957,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,3,stream,128,bounded,inline,legacy,64,8,22840,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
compact,memory,1,stream,128,bounded,inline,legacy,64,8,,6,257,128,64,258,523,2,0,0,0,0,0,0,1114968,1114968,3210,0,true
compact,envelopes,1,stream,128,bounded,inline,legacy,64,8,,6,257,128,64,258,523,2,1479805,2475270,6090,219141,249,1261796,,,,,true
compact,timing,1,stream,512,bounded,inline,legacy,64,8,238536,17,1013,500,64,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,2,stream,512,bounded,inline,legacy,64,8,235726,17,1013,500,64,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,3,stream,512,bounded,inline,legacy,64,8,233945,17,1013,500,64,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,memory,1,stream,512,bounded,inline,legacy,64,8,,17,1013,500,64,1026,2059,2,0,0,0,0,0,0,7637440,7637440,119700,0,true
compact,envelopes,1,stream,512,bounded,inline,legacy,64,8,,17,1013,500,64,1026,2059,2,5848129,9828678,6102,865593,249,4929389,,,,,true
