# commit=4b7ffc480cd76748327c4b6c96c3b8f92327989f elixir=1.19.5 otp=28 schedulers=16
label,pass,repeat,case,n,preparation,execution,coordination,limit,concurrency,elapsed_us,waves,prepared,fan_in_prepared,max_prepared,facts,edges,mapped_entries,request_bytes,response_bytes,max_request_bytes,request_flat_words,max_context_words,retained_external_bytes,owner_peak_bytes,tree_peak_bytes,referenced_binary_peak_bytes,descendant_count,result_ok
compact,timing,1,collect,128,bounded,task,legacy,64,8,31681,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,2,collect,128,bounded,task,legacy,64,8,35078,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,3,collect,128,bounded,task,legacy,64,8,31893,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
compact,memory,1,collect,128,bounded,task,legacy,64,8,,6,257,128,64,258,523,2,0,0,0,0,0,0,2960792,2969752,25770,263,true
compact,envelopes,1,collect,128,bounded,task,legacy,64,8,,6,257,128,64,258,523,2,1479955,2475420,6090,219629,428,1262012,,,,,true
compact,timing,1,collect,512,bounded,task,legacy,64,8,285716,18,1025,512,64,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,2,collect,512,bounded,task,legacy,64,8,286697,18,1025,512,64,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,3,collect,512,bounded,task,legacy,64,8,305571,18,1025,512,64,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,memory,1,collect,512,bounded,task,legacy,64,8,,18,1025,512,64,1026,2059,2,0,0,0,0,0,0,7691664,7697608,130477,1043,true
compact,envelopes,1,collect,512,bounded,task,legacy,64,8,,18,1025,512,64,1026,2059,2,5916971,9902272,6943,877037,1196,4932942,,,,,true
compact,timing,1,sum,128,bounded,task,legacy,64,8,27597,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,2,sum,128,bounded,task,legacy,64,8,28807,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
