Compiling 109 files (.ex)
Generated runic app
# commit=4b7ffc480cd76748327c4b6c96c3b8f92327989f elixir=1.19.5 otp=28 schedulers=16
label,pass,repeat,case,n,preparation,execution,coordination,limit,concurrency,elapsed_us,waves,prepared,fan_in_prepared,max_prepared,facts,edges,mapped_entries,request_bytes,response_bytes,max_request_bytes,request_flat_words,max_context_words,retained_external_bytes,owner_peak_bytes,tree_peak_bytes,referenced_binary_peak_bytes,descendant_count,result_ok
compact,timing,1,collect,128,eager,inline,legacy,64,8,22639,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,2,collect,128,eager,inline,legacy,64,8,21886,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,3,collect,128,eager,inline,legacy,64,8,21597,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,memory,1,collect,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,0,0,0,0,0,0,1803592,1803592,7722,0,true
compact,envelopes,1,collect,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,1479955,2475420,6090,219629,428,1262012,,,,,true
compact,timing,1,collect,512,eager,inline,legacy,64,8,215678,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,2,collect,512,eager,inline,legacy,64,8,193343,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,3,collect,512,eager,inline,legacy,64,8,188882,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,memory,1,collect,512,eager,inline,legacy,64,8,,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,9571168,9571168,66003,0,true
compact,envelopes,1,collect,512,eager,inline,legacy,64,8,,3,1025,512,512,1026,2059,2,5916971,9902272,6943,877037,1196,4932942,,,,,true
compact,timing,1,sum,128,eager,inline,legacy,64,8,22640,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,2,sum,128,eager,inline,legacy,64,8,22023,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,3,sum,128,eager,inline,legacy,64,8,21676,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,memory,1,sum,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,0,0,0,0,0,0,1803576,1803576,13738,0,true
compact,envelopes,1,sum,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,1479955,2475420,6090,219629,428,1261871,,,,,true
compact,timing,1,sum,512,eager,inline,legacy,64,8,191490,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,2,sum,512,eager,inline,legacy,64,8,190673,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,3,sum,512,eager,inline,legacy,64,8,190161,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,memory,1,sum,512,eager,inline,legacy,64,8,,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,4720496,4720496,37411,0,true
compact,envelopes,1,sum,512,eager,inline,legacy,64,8,,3,1025,512,512,1026,2059,2,5916971,9902272,6943,877037,1196,4931131,,,,,true
compact,timing,1,deep,128,eager,inline,legacy,64,8,50094,6,641,128,128,642,1302,5,0,0,0,0,0,0,,,,,true
compact,timing,2,deep,128,eager,inline,legacy,64,8,48594,6,641,128,128,642,1302,5,0,0,0,0,0,0,,,,,true
compact,timing,3,deep,128,eager,inline,legacy,64,8,54547,6,641,128,128,642,1302,5,0,0,0,0,0,0,,,,,true
compact,memory,1,deep,128,eager,inline,legacy,64,8,,6,641,128,128,642,1302,5,0,0,0,0,0,0,2917752,2917752,69696,0,true
compact,envelopes,1,deep,128,eager,inline,legacy,64,8,,6,641,128,128,642,1302,5,3705015,6286436,6007,560109,428,3275938,,,,,true
compact,timing,1,deep,512,eager,inline,legacy,64,8,516769,6,2561,512,512,2562,5142,5,0,0,0,0,0,0,,,,,true
compact,timing,2,deep,512,eager,inline,legacy,64,8,498190,6,2561,512,512,2562,5142,5,0,0,0,0,0,0,,,,,true
compact,timing,3,deep,512,eager,inline,legacy,64,8,496496,6,2561,512,512,2562,5142,5,0,0,0,0,0,0,,,,,true
compact,memory,1,deep,512,eager,inline,legacy,64,8,,6,2561,512,512,2562,5142,5,0,0,0,0,0,0,11186960,11186960,293373,0,true
compact,envelopes,1,deep,512,eager,inline,legacy,64,8,,6,2561,512,512,2562,5142,5,14824021,25159956,6943,2238957,1196,12760497,,,,,true
compact,timing,1,binary,128,eager,inline,legacy,64,8,21710,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,2,binary,128,eager,inline,legacy,64,8,21934,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,3,binary,128,eager,inline,legacy,64,8,22225,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,memory,1,binary,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,0,0,0,0,0,0,2917720,2917720,194108,0,true
compact,envelopes,1,binary,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,2272025,3795362,267801,228077,1836,1790146,,,,,true
compact,timing,1,binary,512,eager,inline,legacy,64,8,219287,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,2,binary,512,eager,inline,legacy,64,8,218030,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
