
10:51:08.454 [warning] application :tidewave is not starting because Mix is not running
# commit=4b7ffc480cd76748327c4b6c96c3b8f92327989f elixir=1.19.5 otp=28 schedulers=16
label,pass,repeat,case,n,preparation,execution,coordination,limit,concurrency,elapsed_us,waves,prepared,fan_in_prepared,max_prepared,facts,edges,mapped_entries,request_bytes,response_bytes,max_request_bytes,request_flat_words,max_context_words,retained_external_bytes,owner_peak_bytes,tree_peak_bytes,referenced_binary_peak_bytes,descendant_count,result_ok
compact,timing,1,collect,128,eager,peer_tcp,legacy,64,8,126694,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,2,collect,128,eager,peer_tcp,legacy,64,8,125444,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,3,collect,128,eager,peer_tcp,legacy,64,8,127142,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,1,collect,512,eager,peer_tcp,legacy,64,8,385174,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,2,collect,512,eager,peer_tcp,legacy,64,8,384885,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,3,collect,512,eager,peer_tcp,legacy,64,8,379910,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,1,sum,128,eager,peer_tcp,legacy,64,8,127383,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,2,sum,128,eager,peer_tcp,legacy,64,8,127661,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,3,sum,128,eager,peer_tcp,legacy,64,8,130823,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,1,sum,512,eager,peer_tcp,legacy,64,8,371132,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,2,sum,512,eager,peer_tcp,legacy,64,8,371015,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,3,sum,512,eager,peer_tcp,legacy,64,8,374949,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,1,binary,128,eager,peer_tcp,legacy,64,8,134308,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,2,binary,128,eager,peer_tcp,legacy,64,8,130733,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,3,binary,128,eager,peer_tcp,legacy,64,8,132826,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,1,binary,512,eager,peer_tcp,legacy,64,8,431168,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,2,binary,512,eager,peer_tcp,legacy,64,8,429853,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,3,binary,512,eager,peer_tcp,legacy,64,8,430930,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
