# commit=4b7ffc480cd76748327c4b6c96c3b8f92327989f elixir=1.19.5 otp=28 schedulers=16
label,pass,repeat,case,n,preparation,execution,coordination,limit,concurrency,elapsed_us,waves,prepared,fan_in_prepared,max_prepared,facts,edges,mapped_entries,request_bytes,response_bytes,max_request_bytes,request_flat_words,max_context_words,retained_external_bytes,owner_peak_bytes,tree_peak_bytes,referenced_binary_peak_bytes,descendant_count,result_ok
compact,timing,1,collect,2048,eager,inline,legacy,64,8,3066382,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,,,,,true
compact,timing,2,collect,2048,eager,inline,legacy,64,8,2804976,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,,,,,true
compact,timing,3,collect,2048,eager,inline,legacy,64,8,2909840,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,,,,,true
compact,memory,1,collect,2048,eager,inline,legacy,64,8,,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,28005248,28005248,350320,0,true
compact,envelopes,1,collect,2048,eager,inline,legacy,64,8,,3,4097,2048,2048,4098,8203,2,23676203,39630016,22303,3506669,4268,19623246,,,,,true
compact,timing,1,sum,2048,eager,inline,legacy,64,8,3044978,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,,,,,true
compact,timing,2,sum,2048,eager,inline,legacy,64,8,3186942,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,,,,,true
compact,timing,3,sum,2048,eager,inline,legacy,64,8,2777754,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,,,,,true
compact,memory,1,sum,2048,eager,inline,legacy,64,8,,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,19161904,19161904,321298,0,true
compact,envelopes,1,sum,2048,eager,inline,legacy,64,8,,3,4097,2048,2048,4098,8203,2,23676203,39630016,22303,3506669,4268,19613755,,,,,true
