# commit=4b7ffc480cd76748327c4b6c96c3b8f92327989f elixir=1.19.5 otp=28 schedulers=16
label,pass,repeat,case,n,preparation,execution,coordination,limit,concurrency,elapsed_us,waves,prepared,fan_in_prepared,max_prepared,facts,edges,mapped_entries,request_bytes,response_bytes,max_request_bytes,request_flat_words,max_context_words,retained_external_bytes,owner_peak_bytes,tree_peak_bytes,referenced_binary_peak_bytes,descendant_count,result_ok
compact,timing,1,collect,128,eager,task,legacy,64,8,28024,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,2,collect,128,eager,task,legacy,64,8,25932,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,3,collect,128,eager,task,legacy,64,8,27038,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,memory,1,collect,128,eager,task,legacy,64,8,,3,257,128,128,258,523,2,0,0,0,0,0,0,4721944,4734880,22762,260,true
compact,envelopes,1,collect,128,eager,task,legacy,64,8,,3,257,128,128,258,523,2,1479955,2475420,6090,219629,428,1262012,,,,,true
compact,timing,1,collect,512,eager,task,legacy,64,8,249084,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,2,collect,512,eager,task,legacy,64,8,252117,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,3,collect,512,eager,task,legacy,64,8,234969,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,memory,1,collect,512,eager,task,legacy,64,8,,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,7689936,7694120,146299,1028,true
compact,envelopes,1,collect,512,eager,task,legacy,64,8,,3,1025,512,512,1026,2059,2,5916971,9902272,6943,877037,1196,4932942,,,,,true
compact,timing,1,sum,128,eager,task,legacy,64,8,27053,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,2,sum,128,eager,task,legacy,64,8,25152,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,3,sum,128,eager,task,legacy,64,8,26278,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,memory,1,sum,128,eager,task,legacy,64,8,,3,257,128,128,258,523,2,0,0,0,0,0,0,2942864,2967680,5089,260,true
compact,envelopes,1,sum,128,eager,task,legacy,64,8,,3,257,128,128,258,523,2,1479955,2475420,6090,219629,428,1261871,,,,,true
compact,timing,1,sum,512,eager,task,legacy,64,8,240355,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,2,sum,512,eager,task,legacy,64,8,243488,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,3,sum,512,eager,task,legacy,64,8,241463,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,memory,1,sum,512,eager,task,legacy,64,8,,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,11220144,11239352,121546,1028,true
compact,envelopes,1,sum,512,eager,task,legacy,64,8,,3,1025,512,512,1026,2059,2,5916971,9902272,6943,877037,1196,4931131,,,,,true
compact,timing,1,deep,128,eager,task,legacy,64,8,65718,6,641,128,128,642,1302,5,0,0,0,0,0,0,,,,,true
compact,timing,2,deep,128,eager,task,legacy,64,8,67772,6,641,128,128,642,1302,5,0,0,0,0,0,0,,,,,true
compact,timing,3,deep,128,eager,task,legacy,64,8,67715,6,641,128,128,642,1302,5,0,0,0,0,0,0,,,,,true
compact,memory,1,deep,128,eager,task,legacy,64,8,,6,641,128,128,642,1302,5,0,0,0,0,0,0,4774104,4791112,126639,647,true
compact,envelopes,1,deep,128,eager,task,legacy,64,8,,6,641,128,128,642,1302,5,3705015,6286436,6007,560109,428,3275938,,,,,true
compact,timing,1,deep,512,eager,task,legacy,64,8,638434,6,2561,512,512,2562,5142,5,0,0,0,0,0,0,,,,,true
compact,timing,2,deep,512,eager,task,legacy,64,8,653805,6,2561,512,512,2562,5142,5,0,0,0,0,0,0,,,,,true
compact,timing,3,deep,512,eager,task,legacy,64,8,620978,6,2561,512,512,2562,5142,5,0,0,0,0,0,0,,,,,true
compact,memory,1,deep,512,eager,task,legacy,64,8,,6,2561,512,512,2562,5142,5,0,0,0,0,0,0,13145960,13163720,277248,2567,true
compact,envelopes,1,deep,512,eager,task,legacy,64,8,,6,2561,512,512,2562,5142,5,14824021,25159956,6943,2238957,1196,12760497,,,,,true
compact,timing,1,binary,128,eager,task,legacy,64,8,30338,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,2,binary,128,eager,task,legacy,64,8,31002,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,3,binary,128,eager,task,legacy,64,8,29951,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,memory,1,binary,128,eager,task,legacy,64,8,,3,257,128,128,258,523,2,0,0,0,0,0,0,2925456,2935728,549441,260,true
compact,envelopes,1,binary,128,eager,task,legacy,64,8,,3,257,128,128,258,523,2,2272025,3795362,267801,228077,1836,1790146,,,,,true
compact,timing,1,binary,512,eager,task,legacy,64,8,256153,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,2,binary,512,eager,task,legacy,64,8,258661,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,3,binary,512,eager,task,legacy,64,8,260018,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,memory,1,binary,512,eager,task,legacy,64,8,,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,11217296,11241944,1142738,1028,true
compact,envelopes,1,binary,512,eager,task,legacy,64,8,,3,1025,512,512,1026,2059,2,9084203,15180992,1062687,910829,6828,7044430,,,,,true
compact,timing,1,repeated,128,eager,task,legacy,64,8,147438,12,1028,512,128,1032,2065,5,0,0,0,0,0,0,,,,,true
compact,timing,2,repeated,128,eager,task,legacy,64,8,137391,12,1028,512,128,1032,2065,5,0,0,0,0,0,0,,,,,true
compact,timing,3,repeated,128,eager,task,legacy,64,8,134193,12,1028,512,128,1032,2065,5,0,0,0,0,0,0,,,,,true
compact,memory,1,repeated,128,eager,task,legacy,64,8,,12,1028,512,128,1032,2065,5,0,0,0,0,0,0,11182712,11182712,96458,1040,true
compact,envelopes,1,repeated,128,eager,task,legacy,64,8,,12,1028,512,128,1032,2065,5,5925232,9910176,6096,878516,428,4949165,,,,,true
compact,timing,1,repeated,512,eager,task,legacy,64,8,1677272,12,4100,2048,512,4104,8209,5,0,0,0,0,0,0,,,,,true
compact,timing,2,repeated,512,eager,task,legacy,64,8,1635759,12,4100,2048,512,4104,8209,5,0,0,0,0,0,0,,,,,true
compact,timing,3,repeated,512,eager,task,legacy,64,8,1536778,12,4100,2048,512,4104,8209,5,0,0,0,0,0,0,,,,,true
compact,memory,1,repeated,512,eager,task,legacy,64,8,,12,4100,2048,512,4104,8209,5,0,0,0,0,0,0,24018936,24018936,171658,4112,true
compact,envelopes,1,repeated,512,eager,task,legacy,64,8,,12,4100,2048,512,4104,8209,5,23681654,39632038,8473,3508148,1196,19630384,,,,,true
compact,timing,1,stream,128,eager,task,legacy,64,8,25244,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,2,stream,128,eager,task,legacy,64,8,27314,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,timing,3,stream,128,eager,task,legacy,64,8,25988,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
compact,memory,1,stream,128,eager,task,legacy,64,8,,3,257,128,128,258,523,2,0,0,0,0,0,0,4751744,4763720,31786,260,true
compact,envelopes,1,stream,128,eager,task,legacy,64,8,,3,257,128,128,258,523,2,1479805,2475270,6090,219141,263,1261796,,,,,true
compact,timing,1,stream,512,eager,task,legacy,64,8,228810,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,2,stream,512,eager,task,legacy,64,8,217920,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,timing,3,stream,512,eager,task,legacy,64,8,210291,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
compact,memory,1,stream,512,eager,task,legacy,64,8,,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,11237592,11237592,71370,1028,true
compact,envelopes,1,stream,512,eager,task,legacy,64,8,,3,1025,512,512,1026,2059,2,5913487,9898788,6102,875013,263,4929389,,,,,true
