# commit=04aa3d954b09d7bfd862bf73cb27edf12bb56d32 elixir=1.19.5 otp=28 schedulers=16
label,pass,repeat,case,n,preparation,execution,coordination,limit,concurrency,elapsed_us,waves,prepared,fan_in_prepared,max_prepared,facts,edges,mapped_entries,request_bytes,response_bytes,max_request_bytes,request_flat_words,max_context_words,retained_external_bytes,owner_peak_bytes,tree_peak_bytes,referenced_binary_peak_bytes,descendant_count,result_ok
foundation,timing,1,collect,128,bounded,inline,legacy,64,8,13444,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,collect,128,bounded,inline,legacy,64,8,12562,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,collect,128,bounded,inline,legacy,64,8,13556,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,collect,128,bounded,inline,legacy,64,8,,6,257,128,64,258,523,2,0,0,0,0,0,0,2917736,2917736,66902,0,true
foundation,envelopes,1,collect,128,bounded,inline,legacy,64,8,,6,257,128,64,258,523,2,1479955,2475420,6090,219629,428,1262012,,,,,true
foundation,timing,1,collect,512,bounded,inline,legacy,64,8,92209,17,1008,495,64,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,collect,512,bounded,inline,legacy,64,8,99126,17,1008,495,64,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,collect,512,bounded,inline,legacy,64,8,97389,17,1008,495,64,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,collect,512,bounded,inline,legacy,64,8,,17,1008,495,64,1026,2059,2,0,0,0,0,0,0,7637416,7637416,73953,0,true
foundation,envelopes,1,collect,512,bounded,inline,legacy,64,8,,17,1008,495,64,1026,2059,2,5824375,9802944,6943,863692,1196,4932942,,,,,true
foundation,timing,1,sum,128,bounded,inline,legacy,64,8,14164,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,sum,128,bounded,inline,legacy,64,8,12278,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,sum,128,bounded,inline,legacy,64,8,12452,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,sum,128,bounded,inline,legacy,64,8,,6,257,128,64,258,523,2,0,0,0,0,0,0,2917704,2917704,14276,0,true
foundation,envelopes,1,sum,128,bounded,inline,legacy,64,8,,6,257,128,64,258,523,2,1479955,2475420,6090,219629,428,1261871,,,,,true
foundation,timing,1,sum,512,bounded,inline,legacy,64,8,92691,17,1008,495,64,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,sum,512,bounded,inline,legacy,64,8,90705,17,1008,495,64,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,sum,512,bounded,inline,legacy,64,8,89368,17,1008,495,64,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,sum,512,bounded,inline,legacy,64,8,,17,1008,495,64,1026,2059,2,0,0,0,0,0,0,7637440,7637440,156735,0,true
foundation,envelopes,1,sum,512,bounded,inline,legacy,64,8,,17,1008,495,64,1026,2059,2,5824375,9802944,6943,863692,1196,4931131,,,,,true
foundation,timing,1,deep,128,bounded,inline,legacy,64,8,30216,13,640,127,64,642,1302,5,0,0,0,0,0,0,,,,,true
foundation,timing,2,deep,128,bounded,inline,legacy,64,8,29720,13,640,127,64,642,1302,5,0,0,0,0,0,0,,,,,true
foundation,timing,3,deep,128,bounded,inline,legacy,64,8,29583,13,640,127,64,642,1302,5,0,0,0,0,0,0,,,,,true
foundation,memory,1,deep,128,bounded,inline,legacy,64,8,,13,640,127,64,642,1302,5,0,0,0,0,0,0,4720472,4720472,81023,0,true
foundation,envelopes,1,deep,128,bounded,inline,legacy,64,8,,13,640,127,64,642,1302,5,3699571,6280596,6007,559324,428,3275938,,,,,true
foundation,timing,1,deep,512,bounded,inline,legacy,64,8,178891,43,2556,507,64,2562,5142,5,0,0,0,0,0,0,,,,,true
foundation,timing,2,deep,512,bounded,inline,legacy,64,8,173081,43,2556,507,64,2562,5142,5,0,0,0,0,0,0,,,,,true
foundation,timing,3,deep,512,bounded,inline,legacy,64,8,177723,43,2556,507,64,2562,5142,5,0,0,0,0,0,0,,,,,true
foundation,memory,1,deep,512,bounded,inline,legacy,64,8,,43,2556,507,64,2562,5142,5,0,0,0,0,0,0,9590848,9590848,340799,0,true
foundation,envelopes,1,deep,512,bounded,inline,legacy,64,8,,43,2556,507,64,2562,5142,5,14796783,25130738,6943,2235032,1196,12760497,,,,,true
foundation,timing,1,binary,128,bounded,inline,legacy,64,8,16519,5,244,115,64,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,binary,128,bounded,inline,legacy,64,8,17412,5,244,115,64,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,binary,128,bounded,inline,legacy,64,8,17056,5,244,115,64,258,523,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,binary,128,bounded,inline,legacy,64,8,,5,244,115,64,258,523,2,0,0,0,0,0,0,1803592,1803592,194185,0,true
foundation,envelopes,1,binary,128,bounded,inline,legacy,64,8,,5,244,115,64,258,523,2,2174447,3692636,267801,217586,1836,1790146,,,,,true
foundation,timing,1,binary,512,bounded,inline,legacy,64,8,121156,17,1012,499,64,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,binary,512,bounded,inline,legacy,64,8,118186,17,1012,499,64,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,binary,512,bounded,inline,legacy,64,8,120516,17,1012,499,64,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,binary,512,bounded,inline,legacy,64,8,,17,1012,499,64,1026,2059,2,0,0,0,0,0,0,7637416,7637416,1076548,0,true
foundation,envelopes,1,binary,512,bounded,inline,legacy,64,8,,17,1012,499,64,1026,2059,2,8986577,15078218,1062687,900338,6828,7044430,,,,,true
foundation,timing,1,repeated,128,bounded,inline,legacy,64,8,57836,23,1016,500,64,1032,2065,5,0,0,0,0,0,0,,,,,true
foundation,timing,2,repeated,128,bounded,inline,legacy,64,8,52682,23,1016,500,64,1032,2065,5,0,0,0,0,0,0,,,,,true
foundation,timing,3,repeated,128,bounded,inline,legacy,64,8,55119,23,1016,500,64,1032,2065,5,0,0,0,0,0,0,,,,,true
foundation,memory,1,repeated,128,bounded,inline,legacy,64,8,,23,1016,500,64,1032,2065,5,0,0,0,0,0,0,7637424,7637424,91620,0,true
