# commit=04aa3d954b09d7bfd862bf73cb27edf12bb56d32 elixir=1.19.5 otp=28 schedulers=16
label,pass,repeat,case,n,preparation,execution,coordination,limit,concurrency,elapsed_us,waves,prepared,fan_in_prepared,max_prepared,facts,edges,mapped_entries,request_bytes,response_bytes,max_request_bytes,request_flat_words,max_context_words,retained_external_bytes,owner_peak_bytes,tree_peak_bytes,referenced_binary_peak_bytes,descendant_count,result_ok
foundation,timing,1,collect,128,bounded,task,legacy,64,8,17675,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,collect,128,bounded,task,legacy,64,8,16946,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,collect,128,bounded,task,legacy,64,8,16468,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,collect,128,bounded,task,legacy,64,8,,6,257,128,64,258,523,2,0,0,0,0,0,0,1824496,1835328,21049,263,true
foundation,envelopes,1,collect,128,bounded,task,legacy,64,8,,6,257,128,64,258,523,2,1479955,2475420,6090,219629,428,1262012,,,,,true
foundation,timing,1,collect,512,bounded,task,legacy,64,8,120839,18,1025,512,64,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,collect,512,bounded,task,legacy,64,8,113144,18,1025,512,64,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,collect,512,bounded,task,legacy,64,8,113409,18,1025,512,64,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,collect,512,bounded,task,legacy,64,8,,18,1025,512,64,1026,2059,2,0,0,0,0,0,0,7787104,7804144,157549,1043,true
foundation,envelopes,1,collect,512,bounded,task,legacy,64,8,,18,1025,512,64,1026,2059,2,5916971,9902272,6943,877037,1196,4932942,,,,,true
foundation,timing,1,sum,128,bounded,task,legacy,64,8,16618,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,sum,128,bounded,task,legacy,64,8,17257,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,sum,128,bounded,task,legacy,64,8,16091,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,sum,128,bounded,task,legacy,64,8,,6,257,128,64,258,523,2,0,0,0,0,0,0,1581512,1593368,19754,263,true
foundation,envelopes,1,sum,128,bounded,task,legacy,64,8,,6,257,128,64,258,523,2,1479955,2475420,6090,219629,428,1261871,,,,,true
foundation,timing,1,sum,512,bounded,task,legacy,64,8,113058,18,1025,512,64,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,sum,512,bounded,task,legacy,64,8,109030,18,1025,512,64,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,sum,512,bounded,task,legacy,64,8,109827,18,1025,512,64,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,sum,512,bounded,task,legacy,64,8,,18,1025,512,64,1026,2059,2,0,0,0,0,0,0,4786768,4795848,96458,1043,true
foundation,envelopes,1,sum,512,bounded,task,legacy,64,8,,18,1025,512,64,1026,2059,2,5916971,9902272,6943,877037,1196,4931131,,,,,true
foundation,timing,1,deep,128,bounded,task,legacy,64,8,35753,13,641,128,64,642,1302,5,0,0,0,0,0,0,,,,,true
foundation,timing,2,deep,128,bounded,task,legacy,64,8,36829,13,641,128,64,642,1302,5,0,0,0,0,0,0,,,,,true
foundation,timing,3,deep,128,bounded,task,legacy,64,8,35790,13,641,128,64,642,1302,5,0,0,0,0,0,0,,,,,true
foundation,memory,1,deep,128,bounded,task,legacy,64,8,,13,641,128,64,642,1302,5,0,0,0,0,0,0,4765208,4765208,62447,654,true
foundation,envelopes,1,deep,128,bounded,task,legacy,64,8,,13,641,128,64,642,1302,5,3705015,6286436,6007,560109,428,3275938,,,,,true
foundation,timing,1,deep,512,bounded,task,legacy,64,8,208595,43,2560,511,64,2562,5142,5,0,0,0,0,0,0,,,,,true
foundation,timing,2,deep,512,bounded,task,legacy,64,8,201538,43,2560,511,64,2562,5142,5,0,0,0,0,0,0,,,,,true
foundation,timing,3,deep,512,bounded,task,legacy,64,8,197932,43,2560,511,64,2562,5142,5,0,0,0,0,0,0,,,,,true
foundation,memory,1,deep,512,bounded,task,legacy,64,8,,43,2560,511,64,2562,5142,5,0,0,0,0,0,0,9702336,9702336,96559,2603,true
foundation,envelopes,1,deep,512,bounded,task,legacy,64,8,,43,2560,511,64,2562,5142,5,14818571,25154110,6943,2238172,1196,12760497,,,,,true
foundation,timing,1,binary,128,bounded,task,legacy,64,8,21899,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,binary,128,bounded,task,legacy,64,8,21438,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,binary,128,bounded,task,legacy,64,8,22289,6,257,128,64,258,523,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,binary,128,bounded,task,legacy,64,8,,6,257,128,64,258,523,2,0,0,0,0,0,0,2919128,2919128,549441,263,true
foundation,envelopes,1,binary,128,bounded,task,legacy,64,8,,6,257,128,64,258,523,2,2272025,3795362,267801,228077,1836,1790146,,,,,true
foundation,timing,1,binary,512,bounded,task,legacy,64,8,130245,17,1013,500,64,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,binary,512,bounded,task,legacy,64,8,132921,17,1013,500,64,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,binary,512,bounded,task,legacy,64,8,129338,17,1013,500,64,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,binary,512,bounded,task,legacy,64,8,,17,1013,500,64,1026,2059,2,0,0,0,0,0,0,9571448,9571448,1948381,1030,true
foundation,envelopes,1,binary,512,bounded,task,legacy,64,8,,17,1013,500,64,1026,2059,2,8994089,15086126,1062687,901145,6828,7044430,,,,,true
foundation,timing,1,repeated,128,bounded,task,legacy,64,8,65483,23,1017,501,64,1032,2065,5,0,0,0,0,0,0,,,,,true
foundation,timing,2,repeated,128,bounded,task,legacy,64,8,63275,23,1017,501,64,1032,2065,5,0,0,0,0,0,0,,,,,true
foundation,timing,3,repeated,128,bounded,task,legacy,64,8,65186,23,1017,501,64,1032,2065,5,0,0,0,0,0,0,,,,,true
foundation,memory,1,repeated,128,bounded,task,legacy,64,8,,23,1017,501,64,1032,2065,5,0,0,0,0,0,0,5092024,5092024,85930,1040,true
foundation,envelopes,1,repeated,128,bounded,task,legacy,64,8,,23,1017,501,64,1032,2065,5,5865282,9845870,6096,869881,428,4949165,,,,,true
foundation,timing,1,repeated,512,bounded,task,legacy,64,8,468712,72,4100,2048,64,4104,8209,5,0,0,0,0,0,0,,,,,true
