==> multigraph
Compiling 16 files (.ex)
Generated multigraph app
==> runic
Compiling 7 files (.ex)
Compiling 12 files (.ex)
Generated runic app
# commit=04aa3d954b09d7bfd862bf73cb27edf12bb56d32 elixir=1.19.5 otp=28 schedulers=16
label,pass,repeat,case,n,preparation,execution,coordination,limit,concurrency,elapsed_us,waves,prepared,fan_in_prepared,max_prepared,facts,edges,mapped_entries,request_bytes,response_bytes,max_request_bytes,request_flat_words,max_context_words,retained_external_bytes,owner_peak_bytes,tree_peak_bytes,referenced_binary_peak_bytes,descendant_count,result_ok
foundation,timing,1,collect,128,eager,inline,legacy,64,8,10402,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,collect,128,eager,inline,legacy,64,8,9642,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,collect,128,eager,inline,legacy,64,8,9579,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,collect,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,0,0,0,0,0,0,1114968,1114968,202,0,true
foundation,envelopes,1,collect,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,1479955,2475420,6090,219629,428,1262012,,,,,true
foundation,timing,1,collect,512,eager,inline,legacy,64,8,37395,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,collect,512,eager,inline,legacy,64,8,42277,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,collect,512,eager,inline,legacy,64,8,37312,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,collect,512,eager,inline,legacy,64,8,,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,7637344,7637344,67858,0,true
foundation,envelopes,1,collect,512,eager,inline,legacy,64,8,,3,1025,512,512,1026,2059,2,5916971,9902272,6943,877037,1196,4932942,,,,,true
foundation,timing,1,sum,128,eager,inline,legacy,64,8,10337,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,sum,128,eager,inline,legacy,64,8,9745,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,sum,128,eager,inline,legacy,64,8,9720,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,sum,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,0,0,0,0,0,0,1803552,1803552,22952,0,true
foundation,envelopes,1,sum,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,1479955,2475420,6090,219629,428,1261871,,,,,true
foundation,timing,1,sum,512,eager,inline,legacy,64,8,37259,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,sum,512,eager,inline,legacy,64,8,36183,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,sum,512,eager,inline,legacy,64,8,36283,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,sum,512,eager,inline,legacy,64,8,,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,7637360,7637360,39342,0,true
foundation,envelopes,1,sum,512,eager,inline,legacy,64,8,,3,1025,512,512,1026,2059,2,5916971,9902272,6943,877037,1196,4931131,,,,,true
foundation,timing,1,deep,128,eager,inline,legacy,64,8,25618,6,641,128,128,642,1302,5,0,0,0,0,0,0,,,,,true
foundation,timing,2,deep,128,eager,inline,legacy,64,8,26098,6,641,128,128,642,1302,5,0,0,0,0,0,0,,,,,true
foundation,timing,3,deep,128,eager,inline,legacy,64,8,26750,6,641,128,128,642,1302,5,0,0,0,0,0,0,,,,,true
foundation,memory,1,deep,128,eager,inline,legacy,64,8,,6,641,128,128,642,1302,5,0,0,0,0,0,0,4720456,4720456,59943,0,true
foundation,envelopes,1,deep,128,eager,inline,legacy,64,8,,6,641,128,128,642,1302,5,3705015,6286436,6007,560109,428,3275938,,,,,true
foundation,timing,1,deep,512,eager,inline,legacy,64,8,108629,6,2561,512,512,2562,5142,5,0,0,0,0,0,0,,,,,true
foundation,timing,2,deep,512,eager,inline,legacy,64,8,100380,6,2561,512,512,2562,5142,5,0,0,0,0,0,0,,,,,true
foundation,timing,3,deep,512,eager,inline,legacy,64,8,101543,6,2561,512,512,2562,5142,5,0,0,0,0,0,0,,,,,true
foundation,memory,1,deep,512,eager,inline,legacy,64,8,,6,2561,512,512,2562,5142,5,0,0,0,0,0,0,7997912,7997912,242447,0,true
foundation,envelopes,1,deep,512,eager,inline,legacy,64,8,,6,2561,512,512,2562,5142,5,14824021,25159956,6943,2238957,1196,12760497,,,,,true
foundation,timing,1,binary,128,eager,inline,legacy,64,8,12937,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,binary,128,eager,inline,legacy,64,8,12603,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,binary,128,eager,inline,legacy,64,8,12642,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,binary,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,0,0,0,0,0,0,1803552,1803552,151026,0,true
foundation,envelopes,1,binary,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,2272025,3795362,267801,228077,1836,1790146,,,,,true
foundation,timing,1,binary,512,eager,inline,legacy,64,8,59119,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,binary,512,eager,inline,legacy,64,8,58883,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,binary,512,eager,inline,legacy,64,8,59465,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,binary,512,eager,inline,legacy,64,8,,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,4720472,4720472,3047946,0,true
foundation,envelopes,1,binary,512,eager,inline,legacy,64,8,,3,1025,512,512,1026,2059,2,9084203,15180992,1062687,910829,6828,7044430,,,,,true
foundation,timing,1,repeated,128,eager,inline,legacy,64,8,40618,12,1028,512,128,1032,2065,5,0,0,0,0,0,0,,,,,true
foundation,timing,2,repeated,128,eager,inline,legacy,64,8,39900,12,1028,512,128,1032,2065,5,0,0,0,0,0,0,,,,,true
foundation,timing,3,repeated,128,eager,inline,legacy,64,8,38654,12,1028,512,128,1032,2065,5,0,0,0,0,0,0,,,,,true
foundation,memory,1,repeated,128,eager,inline,legacy,64,8,,12,1028,512,128,1032,2065,5,0,0,0,0,0,0,9571104,9571104,197603,0,true
foundation,envelopes,1,repeated,128,eager,inline,legacy,64,8,,12,1028,512,128,1032,2065,5,5925232,9910176,6096,878516,428,4949165,,,,,true
foundation,timing,1,repeated,512,eager,inline,legacy,64,8,169172,12,4100,2048,512,4104,8209,5,0,0,0,0,0,0,,,,,true
foundation,timing,2,repeated,512,eager,inline,legacy,64,8,160975,12,4100,2048,512,4104,8209,5,0,0,0,0,0,0,,,,,true
foundation,timing,3,repeated,512,eager,inline,legacy,64,8,160078,12,4100,2048,512,4104,8209,5,0,0,0,0,0,0,,,,,true
foundation,memory,1,repeated,512,eager,inline,legacy,64,8,,12,4100,2048,512,4104,8209,5,0,0,0,0,0,0,13089808,13089808,380945,0,true
foundation,envelopes,1,repeated,512,eager,inline,legacy,64,8,,12,4100,2048,512,4104,8209,5,23681654,39632038,8473,3508148,1196,19630384,,,,,true
foundation,timing,1,stream,128,eager,inline,legacy,64,8,9803,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,stream,128,eager,inline,legacy,64,8,9510,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,stream,128,eager,inline,legacy,64,8,9557,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
