
10:53:22.643 [warning] application :tidewave is not starting because Mix is not running
# commit=04aa3d954b09d7bfd862bf73cb27edf12bb56d32 elixir=1.19.5 otp=28 schedulers=16
label,pass,repeat,case,n,preparation,execution,coordination,limit,concurrency,elapsed_us,waves,prepared,fan_in_prepared,max_prepared,facts,edges,mapped_entries,request_bytes,response_bytes,max_request_bytes,request_flat_words,max_context_words,retained_external_bytes,owner_peak_bytes,tree_peak_bytes,referenced_binary_peak_bytes,descendant_count,result_ok
foundation,timing,1,collect,128,eager,peer_tcp,legacy,64,8,121173,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,collect,128,eager,peer_tcp,legacy,64,8,114822,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,collect,128,eager,peer_tcp,legacy,64,8,115846,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,1,collect,512,eager,peer_tcp,legacy,64,8,225049,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,collect,512,eager,peer_tcp,legacy,64,8,221063,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,collect,512,eager,peer_tcp,legacy,64,8,218383,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,1,sum,128,eager,peer_tcp,legacy,64,8,118187,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,sum,128,eager,peer_tcp,legacy,64,8,119812,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,sum,128,eager,peer_tcp,legacy,64,8,115029,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,1,sum,512,eager,peer_tcp,legacy,64,8,215980,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,sum,512,eager,peer_tcp,legacy,64,8,215123,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,sum,512,eager,peer_tcp,legacy,64,8,222787,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,1,binary,128,eager,peer_tcp,legacy,64,8,123054,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,binary,128,eager,peer_tcp,legacy,64,8,125139,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,binary,128,eager,peer_tcp,legacy,64,8,125453,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,1,binary,512,eager,peer_tcp,legacy,64,8,253923,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,binary,512,eager,peer_tcp,legacy,64,8,199843,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,binary,512,eager,peer_tcp,legacy,64,8,249151,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
