# commit=9725f0733746356325963b250c273c74aa35bda6 elixir=1.19.5 otp=28 schedulers=16
label,pass,repeat,case,n,preparation,execution,coordination,limit,concurrency,elapsed_us,waves,prepared,fan_in_prepared,max_prepared,facts,edges,mapped_entries,request_bytes,response_bytes,max_request_bytes,request_flat_words,max_context_words,retained_external_bytes,owner_peak_bytes,tree_peak_bytes,referenced_binary_peak_bytes,descendant_count,result_ok
foundation,timing,1,slow_first,128,eager,inline,legacy,64,8,22349,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,slow_first,128,eager,inline,legacy,64,8,21029,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,slow_first,128,eager,inline,legacy,64,8,21292,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,1,slow_first,512,eager,inline,legacy,64,8,55074,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,slow_first,512,eager,inline,legacy,64,8,49504,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,slow_first,512,eager,inline,legacy,64,8,51226,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,1,latency,128,eager,inline,legacy,64,8,392111,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,latency,128,eager,inline,legacy,64,8,393050,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,latency,128,eager,inline,legacy,64,8,392705,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,1,latency,512,eager,inline,legacy,64,8,1573359,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,latency,512,eager,inline,legacy,64,8,1570773,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,latency,512,eager,inline,legacy,64,8,1569402,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
