# commit=04aa3d954b09d7bfd862bf73cb27edf12bb56d32 elixir=1.19.5 otp=28 schedulers=16
label,pass,repeat,case,n,preparation,execution,coordination,limit,concurrency,elapsed_us,waves,prepared,fan_in_prepared,max_prepared,facts,edges,mapped_entries,request_bytes,response_bytes,max_request_bytes,request_flat_words,max_context_words,retained_external_bytes,owner_peak_bytes,tree_peak_bytes,referenced_binary_peak_bytes,descendant_count,result_ok
foundation,timing,1,collect,2048,eager,inline,legacy,64,8,185959,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,collect,2048,eager,inline,legacy,64,8,174246,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,collect,2048,eager,inline,legacy,64,8,173948,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,collect,2048,eager,inline,legacy,64,8,,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,16365256,16365256,380912,0,true
foundation,envelopes,1,collect,2048,eager,inline,legacy,64,8,,3,4097,2048,2048,4098,8203,2,23676203,39630016,22303,3506669,4268,19623246,,,,,true
foundation,timing,1,collect,8192,eager,inline,legacy,64,8,886795,3,16385,8192,8192,16386,32779,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,collect,8192,eager,inline,legacy,64,8,901925,3,16385,8192,8192,16386,32779,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,collect,8192,eager,inline,legacy,64,8,916519,3,16385,8192,8192,16386,32779,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,collect,8192,eager,inline,legacy,64,8,,3,16385,8192,8192,16386,32779,2,0,0,0,0,0,0,49516392,49516392,383857,0,true
foundation,envelopes,1,collect,8192,eager,inline,legacy,64,8,,3,16385,8192,8192,16386,32779,2,94713131,158540992,83743,14025197,16556,78384462,,,,,true
foundation,timing,1,sum,2048,eager,inline,legacy,64,8,161728,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,sum,2048,eager,inline,legacy,64,8,172349,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,sum,2048,eager,inline,legacy,64,8,163315,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,sum,2048,eager,inline,legacy,64,8,,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,16366024,16366024,362524,0,true
foundation,envelopes,1,sum,2048,eager,inline,legacy,64,8,,3,4097,2048,2048,4098,8203,2,23676203,39630016,22303,3506669,4268,19613755,,,,,true
foundation,timing,1,sum,8192,eager,inline,legacy,64,8,849682,3,16385,8192,8192,16386,32779,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,sum,8192,eager,inline,legacy,64,8,864997,3,16385,8192,8192,16386,32779,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,sum,8192,eager,inline,legacy,64,8,812262,3,16385,8192,8192,16386,32779,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,sum,8192,eager,inline,legacy,64,8,,3,16385,8192,8192,16386,32779,2,0,0,0,0,0,0,59419480,59419480,380974,0,true
foundation,envelopes,1,sum,8192,eager,inline,legacy,64,8,,3,16385,8192,8192,16386,32779,2,94713131,158540992,83743,14025197,16556,78344251,,,,,true
