# commit=04aa3d954b09d7bfd862bf73cb27edf12bb56d32 elixir=1.19.5 otp=28 schedulers=16
label,pass,repeat,case,n,preparation,execution,coordination,limit,concurrency,elapsed_us,waves,prepared,fan_in_prepared,max_prepared,facts,edges,mapped_entries,request_bytes,response_bytes,max_request_bytes,request_flat_words,max_context_words,retained_external_bytes,owner_peak_bytes,tree_peak_bytes,referenced_binary_peak_bytes,descendant_count,result_ok
foundation,timing,1,collect,128,eager,task,legacy,64,8,13194,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,collect,128,eager,task,legacy,64,8,13953,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,collect,128,eager,task,legacy,64,8,11868,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,collect,128,eager,task,legacy,64,8,,3,257,128,128,258,523,2,0,0,0,0,0,0,1638288,1650384,18596,260,true
foundation,envelopes,1,collect,128,eager,task,legacy,64,8,,3,257,128,128,258,523,2,1479955,2475420,6090,219629,428,1262012,,,,,true
foundation,timing,1,collect,512,eager,task,legacy,64,8,48465,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,collect,512,eager,task,legacy,64,8,41773,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,collect,512,eager,task,legacy,64,8,42538,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,memory,1,collect,512,eager,task,legacy,64,8,,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,7816088,7823296,145066,1028,true
foundation,envelopes,1,collect,512,eager,task,legacy,64,8,,3,1025,512,512,1026,2059,2,5916971,9902272,6943,877037,1196,4932942,,,,,true
foundation,timing,1,sum,128,eager,task,legacy,64,8,13240,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,sum,128,eager,task,legacy,64,8,12584,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
