==> multigraph
Compiling 16 files (.ex)
Generated multigraph app
==> runic
Compiling 109 files (.ex)
Generated runic app
# commit=08275bc67962b9f8aac805fa57af1992852d4fb0 elixir=1.19.5 otp=28 schedulers=16
label,pass,repeat,case,n,preparation,execution,coordination,limit,concurrency,elapsed_us,waves,prepared,fan_in_prepared,max_prepared,facts,edges,mapped_entries,request_bytes,response_bytes,max_request_bytes,request_flat_words,max_context_words,retained_external_bytes,owner_peak_bytes,tree_peak_bytes,referenced_binary_peak_bytes,descendant_count,result_ok
graph,timing,1,collect,128,eager,inline,legacy,64,8,23414,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
graph,timing,2,collect,128,eager,inline,legacy,64,8,23374,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
graph,timing,3,collect,128,eager,inline,legacy,64,8,25364,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
graph,memory,1,collect,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,0,0,0,0,0,0,4720464,4720464,18919,0,true
graph,envelopes,1,collect,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,8242067,9237532,58273,1328109,4785,1262012,,,,,true
graph,timing,1,collect,512,eager,inline,legacy,64,8,273049,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
graph,timing,2,collect,512,eager,inline,legacy,64,8,269937,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
graph,timing,3,collect,512,eager,inline,legacy,64,8,267657,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
graph,memory,1,collect,512,eager,inline,legacy,64,8,,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,7637376,7637376,72449,0,true
graph,envelopes,1,collect,512,eager,inline,legacy,64,8,,3,1025,512,512,1026,2059,2,114626347,118611648,217773,18654701,18559,4932942,,,,,true
graph,timing,1,sum,128,eager,inline,legacy,64,8,23271,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
graph,timing,2,sum,128,eager,inline,legacy,64,8,22330,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
graph,timing,3,sum,128,eager,inline,legacy,64,8,22917,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
graph,memory,1,sum,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,0,0,0,0,0,0,1803576,1803576,7619,0,true
graph,envelopes,1,sum,128,eager,inline,legacy,64,8,,3,257,128,128,258,523,2,8242067,9237532,58273,1328109,4785,1261871,,,,,true
graph,timing,1,sum,512,eager,inline,legacy,64,8,270738,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
graph,timing,2,sum,512,eager,inline,legacy,64,8,264913,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
graph,timing,3,sum,512,eager,inline,legacy,64,8,264958,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
graph,memory,1,sum,512,eager,inline,legacy,64,8,,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,7637392,7637392,81914,0,true
graph,envelopes,1,sum,512,eager,inline,legacy,64,8,,3,1025,512,512,1026,2059,2,114626347,118611648,217773,18654701,18559,4931131,,,,,true
graph,timing,1,deep,128,eager,inline,legacy,64,8,39442,6,641,128,128,642,1302,5,0,0,0,0,0,0,,,,,true
graph,timing,2,deep,128,eager,inline,legacy,64,8,38720,6,641,128,128,642,1302,5,0,0,0,0,0,0,,,,,true
graph,timing,3,deep,128,eager,inline,legacy,64,8,38656,6,641,128,128,642,1302,5,0,0,0,0,0,0,,,,,true
graph,memory,1,deep,128,eager,inline,legacy,64,8,,6,641,128,128,642,1302,5,0,0,0,0,0,0,4720472,4720472,101071,0,true
graph,envelopes,1,deep,128,eager,inline,legacy,64,8,,6,641,128,128,642,1302,5,10485047,13066468,58419,1669101,4803,3275938,,,,,true
graph,timing,1,deep,512,eager,inline,legacy,64,8,382592,6,2561,512,512,2562,5142,5,0,0,0,0,0,0,,,,,true
graph,timing,2,deep,512,eager,inline,legacy,64,8,375470,6,2561,512,512,2562,5142,5,0,0,0,0,0,0,,,,,true
graph,timing,3,deep,512,eager,inline,legacy,64,8,376583,6,2561,512,512,2562,5142,5,0,0,0,0,0,0,,,,,true
