
10:52:09.816 [warning] application :tidewave is not starting because Mix is not running
# commit=08275bc67962b9f8aac805fa57af1992852d4fb0 elixir=1.19.5 otp=28 schedulers=16
label,pass,repeat,case,n,preparation,execution,coordination,limit,concurrency,elapsed_us,waves,prepared,fan_in_prepared,max_prepared,facts,edges,mapped_entries,request_bytes,response_bytes,max_request_bytes,request_flat_words,max_context_words,retained_external_bytes,owner_peak_bytes,tree_peak_bytes,referenced_binary_peak_bytes,descendant_count,result_ok
graph,timing,1,collect,128,eager,peer_tcp,legacy,64,8,186387,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
graph,timing,2,collect,128,eager,peer_tcp,legacy,64,8,191725,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
graph,timing,3,collect,128,eager,peer_tcp,legacy,64,8,185816,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
graph,timing,1,collect,512,eager,peer_tcp,legacy,64,8,1317413,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
graph,timing,2,collect,512,eager,peer_tcp,legacy,64,8,1315515,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
graph,timing,3,collect,512,eager,peer_tcp,legacy,64,8,1293948,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
graph,timing,1,sum,128,eager,peer_tcp,legacy,64,8,180157,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
graph,timing,2,sum,128,eager,peer_tcp,legacy,64,8,144539,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
graph,timing,3,sum,128,eager,peer_tcp,legacy,64,8,177445,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
graph,timing,1,sum,512,eager,peer_tcp,legacy,64,8,1332516,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
graph,timing,2,sum,512,eager,peer_tcp,legacy,64,8,1319703,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
graph,timing,3,sum,512,eager,peer_tcp,legacy,64,8,1316189,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
graph,timing,1,binary,128,eager,peer_tcp,legacy,64,8,167704,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
graph,timing,2,binary,128,eager,peer_tcp,legacy,64,8,173303,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
graph,timing,3,binary,128,eager,peer_tcp,legacy,64,8,164585,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
graph,timing,1,binary,512,eager,peer_tcp,legacy,64,8,1520973,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
graph,timing,2,binary,512,eager,peer_tcp,legacy,64,8,1565871,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
graph,timing,3,binary,512,eager,peer_tcp,legacy,64,8,1596404,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
