operation,n,trial,iterations,microseconds,reductions,post_gc_bytes,result_flat_words
incoming_partition,128,1,500,14329,1079851,2712,21
incoming_partition,128,2,500,14469,1079562,2696,21
incoming_partition,128,3,500,14314,1079538,2712,21
outgoing_partition,128,1,500,7206,578951,2696,21
outgoing_partition,128,2,500,7019,578995,2712,21
outgoing_partition,128,3,500,6970,579002,2696,21
incident_partition,128,1,500,22471,1598236,2696,21
incident_partition,128,2,500,22463,1598167,2696,21
incident_partition,128,3,500,22555,1598563,2696,21
single_relabel,128,1,500,5157,738321,372208,27924
single_relabel,128,2,500,5109,738321,372208,27924
single_relabel,128,3,500,5168,738321,372208,27924
consume_all,128,1,128,1076,107416,372208,27939
consume_all,128,2,128,1082,107416,372208,27939
consume_all,128,3,128,1072,107416,372208,27939
incoming_partition,512,1,500,69863,4212772,2696,21
incoming_partition,512,2,500,69528,4212960,2696,21
incoming_partition,512,3,500,69517,4212031,2696,21
outgoing_partition,512,1,500,31302,2094495,2696,21
outgoing_partition,512,2,500,31756,2094040,2696,21
outgoing_partition,512,3,500,32639,2094999,2696,21
incident_partition,512,1,500,112571,6332932,2696,21
incident_partition,512,2,500,114051,6332904,2696,21
incident_partition,512,3,500,111983,6332873,2696,21
single_relabel,512,1,500,18157,2682797,1574032,110904
single_relabel,512,2,500,18272,2682797,1574032,110904
single_relabel,512,3,500,17842,2682797,1574032,110904
consume_all,512,1,512,10686,1435035,1574032,110753
consume_all,512,2,512,10821,1435035,1574032,110753
consume_all,512,3,512,10736,1435035,1574032,110753
incoming_partition,2048,1,500,293714,16075491,2696,21
incoming_partition,2048,2,500,292363,16077123,2696,21
incoming_partition,2048,3,500,276340,16077272,2696,21
outgoing_partition,2048,1,500,145839,8167984,2712,21
outgoing_partition,2048,2,500,142295,8165270,2696,21
outgoing_partition,2048,3,500,143148,8170272,2696,21
incident_partition,2048,1,500,490629,25480921,2696,21
incident_partition,2048,2,500,491121,25479977,2696,21
incident_partition,2048,3,500,436610,25482267,2696,21
single_relabel,2048,1,500,83322,10474411,6665040,442956
single_relabel,2048,2,500,82794,10473199,6665040,442956
single_relabel,2048,3,500,84915,10473863,6665040,442956
consume_all,2048,1,2048,167753,21393394,6665040,443479
consume_all,2048,2,2048,166863,21391762,6665040,443479
consume_all,2048,3,2048,169191,21395194,6665040,443479
