operation,n,trial,iterations,microseconds,reductions,post_gc_bytes,result_flat_words
incoming_partition,128,1,500,251,54524,2696,21
incoming_partition,128,2,500,420,54524,2696,21
incoming_partition,128,3,500,257,54524,2696,21
outgoing_partition,128,1,500,269,61091,2696,21
outgoing_partition,128,2,500,273,61091,2696,21
outgoing_partition,128,3,500,273,61091,2696,21
incident_partition,128,1,500,268,61091,2696,21
incident_partition,128,2,500,272,61091,2696,21
incident_partition,128,3,500,272,61091,2696,21
single_relabel,128,1,500,656,92149,372208,27924
single_relabel,128,2,500,664,92149,372208,27924
single_relabel,128,3,500,662,92149,372208,27924
consume_all,128,1,128,279,24496,372208,27939
consume_all,128,2,128,290,24496,372208,27939
consume_all,128,3,128,284,24496,372208,27939
incoming_partition,512,1,500,828,55523,2696,21
incoming_partition,512,2,500,810,55523,2696,21
incoming_partition,512,3,500,820,55523,2696,21
outgoing_partition,512,1,500,792,59738,2696,21
outgoing_partition,512,2,500,795,59738,2696,21
outgoing_partition,512,3,500,809,59738,2696,21
incident_partition,512,1,500,794,59738,2696,21
incident_partition,512,2,500,791,59738,2696,21
incident_partition,512,3,500,798,59738,2696,21
single_relabel,512,1,500,940,93144,1574032,110904
single_relabel,512,2,500,940,93144,1574032,110904
single_relabel,512,3,500,941,93144,1574032,110904
consume_all,512,1,512,1496,99226,973120,110753
consume_all,512,2,512,1317,99226,973120,110753
consume_all,512,3,512,1270,99226,973120,110753
incoming_partition,2048,1,500,196,52269,2696,21
incoming_partition,2048,2,500,384,52269,2696,21
incoming_partition,2048,3,500,191,52269,2696,21
outgoing_partition,2048,1,500,210,59268,2696,21
outgoing_partition,2048,2,500,211,59268,2696,21
outgoing_partition,2048,3,500,212,59268,2696,21
incident_partition,2048,1,500,211,59268,2696,21
incident_partition,2048,2,500,209,59268,2696,21
incident_partition,2048,3,500,209,59268,2696,21
single_relabel,2048,1,500,4257,104074,4119536,442956
single_relabel,2048,2,500,2084,95926,4119536,442956
single_relabel,2048,3,500,2139,96066,4119536,442956
consume_all,2048,1,2048,5913,397726,6665056,443479
consume_all,2048,2,2048,5998,397774,6665056,443479
consume_all,2048,3,2048,6213,398030,6665056,443479
incoming_partition,8192,1,500,278,52269,2696,21
incoming_partition,8192,2,500,279,52269,2696,21
incoming_partition,8192,3,500,281,52269,2696,21
outgoing_partition,8192,1,500,267,59268,2696,21
outgoing_partition,8192,2,500,331,59268,2696,21
outgoing_partition,8192,3,500,320,59268,2696,21
incident_partition,8192,1,500,348,59268,2696,21
incident_partition,8192,2,500,320,59268,2696,21
incident_partition,8192,3,500,312,59268,2696,21
single_relabel,8192,1,500,5724,110390,16583496,1771696
single_relabel,8192,2,500,5521,109726,16583496,1771696
single_relabel,8192,3,500,5866,111714,16583496,1771696
consume_all,8192,1,8192,38220,1562922,16583512,1769581
consume_all,8192,2,8192,29073,1532906,16583512,1769581
consume_all,8192,3,8192,29685,1535414,16583512,1769581
