# commit=08275bc67962b9f8aac805fa57af1992852d4fb0 elixir=1.19.5 otp=28 schedulers=16
label,pass,repeat,case,n,preparation,execution,coordination,limit,concurrency,elapsed_us,waves,prepared,fan_in_prepared,max_prepared,facts,edges,mapped_entries,request_bytes,response_bytes,max_request_bytes,request_flat_words,max_context_words,retained_external_bytes,owner_peak_bytes,tree_peak_bytes,referenced_binary_peak_bytes,descendant_count,result_ok
graph,timing,1,collect,2048,eager,inline,legacy,64,8,4677880,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,,,,,true
graph,timing,2,collect,2048,eager,inline,legacy,64,8,4055740,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,,,,,true
graph,timing,3,collect,2048,eager,inline,legacy,64,8,4086500,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,,,,,true
graph,memory,1,collect,2048,eager,inline,legacy,64,8,,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,97125184,97125184,376290,0,true
graph,envelopes,1,collect,2048,eager,inline,legacy,64,8,,3,4097,2048,2048,4098,8203,2,1767136555,1783090368,856749,287379949,73295,19623246,,,,,true
graph,timing,1,sum,2048,eager,inline,legacy,64,8,4257243,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,,,,,true
graph,timing,2,sum,2048,eager,inline,legacy,64,8,4343581,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,,,,,true
graph,timing,3,sum,2048,eager,inline,legacy,64,8,4223315,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,,,,,true
graph,memory,1,sum,2048,eager,inline,legacy,64,8,,3,4097,2048,2048,4098,8203,2,0,0,0,0,0,0,116495264,116495264,326061,0,true
graph,envelopes,1,sum,2048,eager,inline,legacy,64,8,,3,4097,2048,2048,4098,8203,2,1767136555,1783090368,856749,287379949,73295,19613755,,,,,true
