implementation,operation,n,samples,iterations,median_ms,median_reductions
baseline,consume_all,128,3,128,1.076,107416
baseline,consume_all,2048,3,2048,167.753,21393394
baseline,consume_all,512,3,512,10.736,1435035
baseline,incident_partition,128,3,500,22.471,1598236
baseline,incident_partition,2048,3,500,490.629,25480921
baseline,incident_partition,512,3,500,112.571,6332904
baseline,incoming_partition,128,3,500,14.329,1079562
baseline,incoming_partition,2048,3,500,292.363,16077123
baseline,incoming_partition,512,3,500,69.528,4212772
baseline,outgoing_partition,128,3,500,7.019,578995
baseline,outgoing_partition,2048,3,500,143.148,8167984
baseline,outgoing_partition,512,3,500,31.756,2094495
baseline,single_relabel,128,3,500,5.157,738321
baseline,single_relabel,2048,3,500,83.322,10473863
baseline,single_relabel,512,3,500,18.157,2682797
indexed,consume_all,128,3,128,0.284,24496
indexed,consume_all,2048,3,2048,5.998,397774
indexed,consume_all,512,3,512,1.317,99226
indexed,consume_all,8192,3,8192,29.685,1535414
indexed,incident_partition,128,3,500,0.272,61091
indexed,incident_partition,2048,3,500,0.209,59268
indexed,incident_partition,512,3,500,0.794,59738
indexed,incident_partition,8192,3,500,0.32,59268
indexed,incoming_partition,128,3,500,0.257,54524
indexed,incoming_partition,2048,3,500,0.196,52269
indexed,incoming_partition,512,3,500,0.82,55523
indexed,incoming_partition,8192,3,500,0.279,52269
indexed,outgoing_partition,128,3,500,0.273,61091
indexed,outgoing_partition,2048,3,500,0.211,59268
indexed,outgoing_partition,512,3,500,0.795,59738
indexed,outgoing_partition,8192,3,500,0.32,59268
indexed,single_relabel,128,3,500,0.662,92149
indexed,single_relabel,2048,3,500,2.139,96066
indexed,single_relabel,512,3,500,0.94,93144
indexed,single_relabel,8192,3,500,5.724,110390
