# commit=08275bc67962b9f8aac805fa57af1992852d4fb0 elixir=1.19.5 otp=28 schedulers=16
label,pass,repeat,case,n,preparation,execution,coordination,limit,concurrency,elapsed_us,waves,prepared,fan_in_prepared,max_prepared,facts,edges,mapped_entries,request_bytes,response_bytes,max_request_bytes,request_flat_words,max_context_words,retained_external_bytes,owner_peak_bytes,tree_peak_bytes,referenced_binary_peak_bytes,descendant_count,result_ok
graph,timing,1,collect,128,eager,task,legacy,64,8,33985,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
graph,timing,2,collect,128,eager,task,legacy,64,8,34341,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
graph,timing,3,collect,128,eager,task,legacy,64,8,31956,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
graph,memory,1,collect,128,eager,task,legacy,64,8,,3,257,128,128,258,523,2,0,0,0,0,0,0,5050696,5151392,18596,260,true
graph,envelopes,1,collect,128,eager,task,legacy,64,8,,3,257,128,128,258,523,2,8242067,9237532,58273,1329645,6631,1262012,,,,,true
graph,timing,1,collect,512,eager,task,legacy,64,8,383021,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
graph,timing,2,collect,512,eager,task,legacy,64,8,373716,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
graph,timing,3,collect,512,eager,task,legacy,64,8,350592,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
graph,memory,1,collect,512,eager,task,legacy,64,8,,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,32173336,32427992,79914,1028,true
graph,envelopes,1,collect,512,eager,task,legacy,64,8,,3,1025,512,512,1026,2059,2,114626347,118611648,217773,18648557,25757,4932942,,,,,true
graph,timing,1,sum,128,eager,task,legacy,64,8,29625,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
graph,timing,2,sum,128,eager,task,legacy,64,8,31784,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
graph,timing,3,sum,128,eager,task,legacy,64,8,29452,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
graph,memory,1,sum,128,eager,task,legacy,64,8,,3,257,128,128,258,523,2,0,0,0,0,0,0,4394240,4406336,4714,260,true
graph,envelopes,1,sum,128,eager,task,legacy,64,8,,3,257,128,128,258,523,2,8242067,9237532,58273,1329645,6631,1261871,,,,,true
graph,timing,1,sum,512,eager,task,legacy,64,8,391551,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
graph,timing,2,sum,512,eager,task,legacy,64,8,369384,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
graph,timing,3,sum,512,eager,task,legacy,64,8,369513,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
graph,memory,1,sum,512,eager,task,legacy,64,8,,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,31757264,32012752,27754,1028,true
graph,envelopes,1,sum,512,eager,task,legacy,64,8,,3,1025,512,512,1026,2059,2,114626347,118611648,217773,18648557,25757,4931131,,,,,true
graph,timing,1,deep,128,eager,task,legacy,64,8,51741,6,641,128,128,642,1302,5,0,0,0,0,0,0,,,,,true
