label,case,n,preparation,execution,coordination,limit,timing_samples,median_ms,owner_peak_MiB,tree_peak_MiB,referenced_binary_peak_MiB,requests_MiB,responses_MiB,fan_in_prepared,max_prepared,facts,edges
baseline,binary,128,eager,inline,legacy,64,3,30.934,2.783,2.783,0.387,24.741,26.194,128,128,258,523
baseline,binary,128,eager,peer_tcp,legacy,64,3,173.755,,,,,,128,128,258,523
baseline,binary,128,eager,task,legacy,64,3,50.276,3.993,4.002,0.524,24.741,26.194,128,128,258,523
baseline,binary,512,eager,inline,legacy,64,3,541.497,12.483,12.483,1.556,370.087,375.901,512,512,1026,2059
baseline,binary,512,eager,peer_tcp,legacy,64,3,1830.511,,,,,,512,512,1026,2059
baseline,binary,512,eager,task,legacy,64,3,612.725,20.26,20.283,3.434,370.087,375.901,512,512,1026,2059
baseline,collect,128,eager,inline,legacy,64,3,32.576,2.783,2.783,0.018,7.86,8.81,128,128,258,523
baseline,collect,128,eager,peer_tcp,legacy,64,3,188.304,,,,,,128,128,258,523
baseline,collect,128,eager,task,legacy,64,3,46.116,6.418,6.514,0.018,7.86,8.81,128,128,258,523
baseline,collect,2048,eager,inline,legacy,64,3,6275.748,111.103,111.103,0.363,1685.273,1700.487,2048,2048,4098,8203
baseline,collect,512,eager,inline,legacy,64,3,401.119,10.653,10.653,0.065,109.316,113.117,512,512,1026,2059
baseline,collect,512,eager,peer_tcp,legacy,64,3,1472.38,,,,,,512,512,1026,2059
baseline,collect,512,eager,task,legacy,64,3,548.293,20.063,20.079,0.061,109.316,113.117,512,512,1026,2059
baseline,deep,128,eager,inline,legacy,64,3,58.331,4.502,4.502,0.057,9.999,12.461,128,128,642,1302
baseline,deep,128,eager,task,legacy,64,3,86.459,8.744,8.76,0.175,9.999,12.461,128,128,642,1302
baseline,deep,512,eager,inline,legacy,64,3,689.834,12.484,12.484,0.32,118.001,127.858,512,512,2562,5142
baseline,deep,512,eager,task,legacy,64,3,944.082,24.686,24.692,0.289,118.001,127.858,512,512,2562,5142
baseline,repeated,128,eager,inline,legacy,64,3,190.074,4.502,4.502,0.058,31.588,35.389,512,128,1032,2065
baseline,repeated,128,eager,task,legacy,64,3,235.644,7.962,7.962,0.096,31.588,35.389,512,128,1032,2065
baseline,repeated,512,eager,inline,legacy,64,3,2481.772,26.757,26.757,0.364,438.399,453.61,2048,512,4104,8209
baseline,repeated,512,eager,task,legacy,64,3,3236.045,44.299,44.323,0.352,438.399,453.61,2048,512,4104,8209
baseline,stream,128,eager,inline,legacy,64,3,33.082,2.783,2.783,0.026,7.86,8.809,128,128,258,523
baseline,stream,128,eager,task,legacy,64,3,41.076,6.679,6.679,0.007,7.86,8.809,128,128,258,523
baseline,stream,512,eager,inline,legacy,64,3,355.083,9.129,9.129,0.038,109.313,113.114,512,512,1026,2059
baseline,stream,512,eager,task,legacy,64,3,511.867,21.895,21.918,0.201,109.313,113.114,512,512,1026,2059
baseline,sum,128,eager,inline,legacy,64,3,28.286,2.783,2.783,0.004,7.86,8.81,128,128,258,523
baseline,sum,128,eager,peer_tcp,legacy,64,3,148.776,,,,,,128,128,258,523
baseline,sum,128,eager,task,legacy,64,3,42.416,5.126,5.134,0.004,7.86,8.81,128,128,258,523
